assembly_accession	access_url
GCA_042030125.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Homo_sapiens/GCA_042030125.1/ensembl/geneset/2025_12/genes.gff3.gz
GCA_964023925.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Drosophila_obscura/GCA_964023925.1/ensembl/geneset/2024_05/genes.gff3.gz
GCA_013399935.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/399/935/GCA_013399935.1_ASM1339993v1/GCA_013399935.1_ASM1339993v1_genomic.gff.gz
GCA_007570785.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Antilocapra_americana/GCA_007570785.1/ensembl/geneset/2024_01/genes.gff3.gz
GCA_020501785.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/501/785/GCA_020501785.1_ASM2050178v1/GCA_020501785.1_ASM2050178v1_genomic.gff.gz
GCA_030553185.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/553/185/GCA_030553185.1_ASM3055318v1/GCA_030553185.1_ASM3055318v1_genomic.gff.gz
GCA_004918305.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/918/305/GCA_004918305.1_ASM491830v1/GCA_004918305.1_ASM491830v1_genomic.gff.gz
GCA_026401395.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/026/401/395/GCA_026401395.1_ASM2640139v1/GCA_026401395.1_ASM2640139v1_genomic.gff.gz
GCA_001466685.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/466/685/GCA_001466685.1_ASM146668v1/GCA_001466685.1_ASM146668v1_genomic.gff.gz
GCA_019343175.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/343/175/GCA_019343175.1_Ogib_1.0/GCA_019343175.1_Ogib_1.0_genomic.gff.gz
GCA_000966595.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/966/595/GCA_000966595.1_ASM96659v1/GCA_000966595.1_ASM96659v1_genomic.gff.gz
GCA_011801815.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/801/815/GCA_011801815.2_ASM1180181v2/GCA_011801815.2_ASM1180181v2_genomic.gff.gz
GCA_028027435.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/028/027/435/GCA_028027435.1_ASM2802743v1/GCA_028027435.1_ASM2802743v1_genomic.gff.gz
GCA_020744425.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/744/425/GCA_020744425.1_Dacma1/GCA_020744425.1_Dacma1_genomic.gff.gz
GCA_902085965.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/085/965/GCA_902085965.1_CLO192961/GCA_902085965.1_CLO192961_genomic.gff.gz
GCA_030267725.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/267/725/GCA_030267725.1_ASM3026772v1/GCA_030267725.1_ASM3026772v1_genomic.gff.gz
GCA_947538895.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Neoitamus_cyanurus/GCA_947538895.1/ensembl/geneset/2024_04/genes.gff3.gz
GCA_050403045.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/050/403/045/GCA_050403045.1_Rs_poonsookiae_JCM10207v1/GCA_050403045.1_Rs_poonsookiae_JCM10207v1_genomic.gff.gz
GCA_905220515.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Lysandra_coridon/GCA_905220515.1/ensembl/geneset/2021_11/genes.gff3.gz
GCA_040144005.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/144/005/GCA_040144005.1_ASM4014400v1/GCA_040144005.1_ASM4014400v1_genomic.gff.gz
GCF_046119375.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/046/119/375/GCF_046119375.1_ASM4611937v1/GCF_046119375.1_ASM4611937v1_genomic.gff.gz
GCA_947095585.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Nephrocerus_scutellatus/GCA_947095585.1/ensembl/geneset/2024_04/genes.gff3.gz
GCF_017639785.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/639/785/GCF_017639785.1_BCM_Maur_2.0/GCF_017639785.1_BCM_Maur_2.0_genomic.gff.gz
GCA_027575745.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/027/575/745/GCA_027575745.1_UCR_CoemRSA2703_1.0/GCA_027575745.1_UCR_CoemRSA2703_1.0_genomic.gff.gz
GCA_056869895.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/056/869/895/GCA_056869895.1_UMB_LProlif484_1.0/GCA_056869895.1_UMB_LProlif484_1.0_genomic.gff.gz
GCA_029953675.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/029/953/675/GCA_029953675.1_rmar_v1/GCA_029953675.1_rmar_v1_genomic.gff.gz
GCA_054655295.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/054/655/295/GCA_054655295.1_Pkes_2/GCA_054655295.1_Pkes_2_genomic.gff.gz
GCA_033675545.1	https://ftp.ebi.ac.uk/pub/ensemblorganisms/Elysia_crispata/GCA_033675545.1/ensembl/geneset/2024_11/genes.gff3.gz
