assembly_accession	access_url
GCA_005190385.2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Monodon_monoceros__narwhal__HLmonMon1__GCA_005190385.2/query_annotation.gff.gz
GCA_005190385.3	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Monodon_monoceros__narwhal__HLmonMon2__GCA_005190385.3/query_annotation.gff.gz
GCA_005280165.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Marmota_himalayana__Himalayan_marmot__HLmarHim1__GCA_005280165.1/query_annotation.gff.gz
GCA_005444595.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Canis_lupus_familiaris__dog__canFam5__GCA_005444595.1/query_annotation.gff.gz
GCA_005458795.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Marmota_vancouverensis__Vancouver_marmot__HLmarVan1__GCA_005458795.1/query_annotation.gff.gz
GCA_005887515.2	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Bos_grunniens__domestic_yak__HLbosGru1__GCA_005887515.2/query_annotation.gff.gz
GCA_006408465.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Cervus_albirostris__white-lipped_deer__HLprzAlb1__GCA_006408465.1/query_annotation.gff.gz
GCA_006408505.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Damaliscus_lunatus__topi__HLdamLun1__GCA_006408505.1/query_annotation.gff.gz
GCA_006408585.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Antidorcas_marsupialis__springbok__HLantMar1__GCA_006408585.1/query_annotation.gff.gz
GCA_006408635.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Nanger_granti__Grants_gazelle__HLnanGra1__GCA_006408635.1/query_annotation.gff.gz
GCA_006408675.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Madoqua_kirkii__Kirks_dik-dik__HLmadKir1__GCA_006408675.1/query_annotation.gff.gz
GCA_006408695.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Aepyceros_melampus__impala__HLaepMel1__GCA_006408695.1/query_annotation.gff.gz
GCA_006408735.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Sylvicapra_grimmia__bush_duiker__HLsylGri1__GCA_006408735.1/query_annotation.gff.gz
GCA_006408755.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Eudorcas_thomsonii__Thomsons_gazelle__HLeudTho1__GCA_006408755.1/query_annotation.gff.gz
GCA_006410495.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Tragelaphus_scriptus__bushbuck__HLtraScr1__GCA_006410495.1/query_annotation.gff.gz
GCA_006410515.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Procapra_przewalskii__Przewalskis_gazelle__HLproPrz1__GCA_006410515.1/query_annotation.gff.gz
GCA_006410555.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Capra_ibex__Alpine_ibex__HLcapIbe1__GCA_006410555.1/query_annotation.gff.gz
GCA_006410615.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Neotragus_moschatus__suni__HLneoMos1__GCA_006410615.1/query_annotation.gff.gz
GCA_006410635.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Cephalophus_harveyi__Harveys_duiker__HLcepHar1__GCA_006410635.1/query_annotation.gff.gz
GCA_006410655.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Kobus_ellipsiprymnus__waterbuck__HLkobEll1__GCA_006410655.1/query_annotation.gff.gz
GCA_006410675.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Oreotragus_oreotragus__klipspringer__HLoreOre1__GCA_006410675.1/query_annotation.gff.gz
GCA_006410695.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Philantomba_maxwellii__Maxwells_duiker__HLphiMax1__GCA_006410695.1/query_annotation.gff.gz
GCA_006410715.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Enhydra_lutris_nereis__sea_otter__enhLutNer1__GCA_006410715.1/query_annotation.gff.gz
GCA_006410735.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Raphicerus_campestris__steenbok__HLrapCam1__GCA_006410735.1/query_annotation.gff.gz
GCA_006410775.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Tragelaphus_imberbis__lesser_kudu__HLtraImb1__GCA_006410775.1/query_annotation.gff.gz
GCA_006410795.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Tragelaphus_strepsiceros__greater_kudu__HLtraStr1__GCA_006410795.1/query_annotation.gff.gz
GCA_006410875.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Neotragus_pygmaeus__royal_antelope__HLneoPyg1__GCA_006410875.1/query_annotation.gff.gz
GCA_006410935.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Redunca_redunca__Bohar_reedbuck__HLredRed1__GCA_006410935.1/query_annotation.gff.gz
GCA_006459105.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Hydropotes_inermis__Chinese_water_deer__HLhydIne1__GCA_006459105.1/query_annotation.gff.gz
GCA_006461725.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Moschus_chrysogaster__alpine_musk_deer__HLmosChr1__GCA_006461725.1/query_annotation.gff.gz
GCA_006542625.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Nomascus_leucogenys__northern_white-cheeked_gibbon__HLnomLeu4__GCA_006542625.1/query_annotation.gff.gz
GCA_007455595.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Alexandromys_oeconomus__root_vole__HLmicOec1__GCA_007455595.1/query_annotation.gff.gz
GCA_007455615.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Microtus_arvalis__Common_vole__HLmicArv1__GCA_007455615.1/query_annotation.gff.gz
GCA_007474595.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Lynx_canadensis__Canada_lynx__HLlynCan1__GCA_007474595.1/query_annotation.gff.gz
GCA_007565055.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Rhinopithecus_roxellana__golden_snub-nosed_monkey__HLrhiRox2__GCA_007565055.1/query_annotation.gff.gz
GCA_007570765.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Alces_alces__Eurasian_elk__HLalcAlc1__GCA_007570765.1/query_annotation.gff.gz
GCA_007570785.1	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Antilocapra_americana__pronghorn__HLantAme1__GCA_007570785.1/query_annotation.gff.gz
GCA_007646595.3	https://genome.senckenberg.de/download/TOGA2/TOGA2integration/v1/Mammalia/Bos_mutus__wild_yak__HLbosMut2__GCA_007646595.3/query_annotation.gff.gz
